,date,type,location,fatalities,ground_fatalities,crew,passengers,operator,first_flight,damage,phase,nature,manufacturer,year,month,day,aircraft_age
939,1944-02-28,Douglas C-53D Skytrooper (DC-3),United States of America,1,0,3.0,0.0,USAAF,1943-01-01,Damaged beyond repair,Initial climb (ICL),Military,Douglas,1944,February,Monday,423
940,1944-02-28,Curtiss C-46A,Unknown country,3,0,3.0,0.0,USAAF,1943-01-01,Missing,Unknown (UNK),Military,Curtiss,1944,February,Monday,423
944,1944-03-04,Douglas C-47A (DC-3),United Kingdom,5,0,3.0,2.0,USAAF,1943-01-01,Damaged beyond repair,Landing (LDG),Military,Douglas,1944,March,Saturday,428
946,1944-03-05,Douglas Dakota III (DC-3),Iceland,2,0,2.0,0.0,RAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,March,Sunday,64
949,1944-03-06,Douglas C-47A (DC-3),Papua New Guinea,13,0,4.0,9.0,USAAF,1943-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,March,Monday,430
950,1944-03-07,Douglas C-47A (DC-3),Cuba,4,0,4.0,0.0,CNAC,1944-01-01,Damaged beyond repair,Takeoff (TOF),Ferry/positioning,Douglas,1944,March,Tuesday,66
953,1944-03-08,Lisunov Li-2,Ukraine,8,0,6.0,2.0,Aeroflot,1943-01-01,Damaged beyond repair,En route (ENR),Unknown,Lisunov,1944,March,Wednesday,432
954,1944-03-09,Douglas Dakota III (DC-3),Iceland,2,0,2.0,0.0,RAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,March,Thursday,68
955,1944-03-11,Douglas C-47A (DC-3),United Kingdom,2,0,2.0,1.0,USAAF,1943-01-01,Damaged beyond repair,Takeoff (TOF),Military,Douglas,1944,March,Saturday,435
956,1944-03-11,Douglas C-47A (DC-3),United States of America,5,0,4.0,1.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,March,Saturday,70
957,1944-03-14,Douglas C-47A (DC-3),United States of America,2,0,2.0,0.0,USAAF,1943-01-01,Damaged beyond repair,Approach (APR),Illegal Flight,Douglas,1944,March,Tuesday,438
958,1944-03-16,Lockheed C-60A Lodestar,United States of America,3,0,3.0,0.0,USAAF,1943-01-01,Damaged beyond repair,Takeoff (TOF),Military,Lockheed,1944,March,Thursday,440
959,1944-03-17,Douglas Dakota III (DC-3),Canada,3,0,3.0,0.0,RCAF,1943-01-01,Missing,En route (ENR),Military,Douglas,1944,March,Friday,441
961,1944-03-20,Lisunov PS-84,Belarus,7,0,6.0,2.0,Aeroflot,1941-01-01,Damaged beyond repair,En route (ENR),Cargo,Lisunov,1944,March,Monday,1174
963,1944-03-22,Douglas C-47A (DC-3),United States of America,4,0,5.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Initial climb (ICL),Military,Douglas,1944,March,Wednesday,81
964,1944-03-24,Curtiss C-46A,India,4,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Curtiss,1944,March,Friday,448
966,1944-03-25,Douglas C-54A (DC-4),Atlantic Ocean,6,0,6.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,March,Saturday,449
968,1944-03-26,Lockheed C-60A Lodestar,United States of America,7,0,7.0,0.0,USAAF,1943-01-01,Damaged beyond repair,Takeoff (TOF),Military,Lockheed,1944,March,Sunday,450
969,1944-03-27,Curtiss C-46A,China,4,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Curtiss,1944,March,Monday,451
970,1944-03-29,Douglas C-47A (DC-3),United States of America,2,0,2.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,March,Wednesday,453
971,1944-04-01,Douglas C-47 (DC-3),Papua New Guinea,7,0,4.0,3.0,USAAF,1942-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,April,Saturday,821
972,1944-04-02,Douglas C-47A (DC-3),Pacific Ocean,5,0,5.0,0.0,USAAF,1944-01-01,Missing,En route (ENR),Military,Douglas,1944,April,Sunday,92
976,1944-04-12,Budd RB-1 Conestoga,United States of America,1,0,2.0,6.0,US Navy,1944-01-01,Damaged beyond repair,Takeoff (TOF),Test,Budd,1944,April,Wednesday,102
981,1944-04-15,Douglas Dakota III (DC-3),Brazil,3,0,3.0,0.0,RAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,April,Saturday,105
983,1944-04-16,Douglas C-47 (DC-3),United States of America,2,0,2.0,0.0,USAAF,1942-01-01,Damaged beyond repair,Maneuvering (MNV),Military,Douglas,1944,April,Sunday,836
987,1944-04-19,Douglas Dakota III (DC-3),Canada,2,0,3.0,0.0,RCAF,1943-01-01,Damaged beyond repair,Approach (APR),Military,Douglas,1944,April,Wednesday,474
988,1944-04-21,Douglas DC-3-220B,Norway,9,0,3.0,17.0,Deutsche Lufthansa,1939-01-01,Damaged beyond repair,En route (ENR),International Scheduled Passenger,Douglas,1944,April,Friday,1937
989,1944-04-24,Curtiss C-46A,India,4,0,4.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Curtiss,1944,April,Monday,114
990,1944-04-25,Douglas Dakota III (DC-3),India,4,0,4.0,0.0,RAF,1943-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,April,Tuesday,480
991,1944-04-25,Curtiss C-46A,India,3,0,4.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Curtiss,1944,April,Tuesday,115
992,1944-04-25,Douglas C-47A (DC-3),United Kingdom,14,0,5.0,9.0,USAAF,1944-01-01,Damaged beyond repair,Initial climb (ICL),Military,Douglas,1944,April,Tuesday,115
993,1944-04-25,Douglas Dakota III (DC-3),Myanmar,4,0,4.0,0.0,RAF,1943-01-01,Missing,Unknown (UNK),Military,Douglas,1944,April,Tuesday,480
994,1944-04-25,Douglas Dakota III (DC-3),India,4,0,4.0,0.0,RAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,April,Tuesday,115
999,1944-05-02,Douglas C-47A (DC-3),Myanmar,6,0,6.0,0.0,USAAF,1943-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,May,Tuesday,487
1000,1944-05-05,Douglas C-49H,United States of America,4,0,2.0,2.0,"Pennsylvania-Central Airlines, op.for USAAF",1940-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,May,Friday,1586
1001,1944-05-05,Douglas Dakota III (DC-3),India,4,0,4.0,0.0,RAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,May,Friday,490
1004,1944-05-06,Douglas C-47A (DC-3),United States of America,4,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,May,Saturday,491
1005,1944-05-08,Douglas C-47 (DC-3),China,7,0,5.0,2.0,USAAF,1942-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,May,Monday,858
1006,1944-05-09,Douglas C-47 (DC-3),Serbia,6,0,6.0,0.0,USAAF,1942-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,May,Tuesday,859
1010,1944-05-11,Douglas C-47A (DC-3),United States of America,1,0,3.0,8.0,USAAF,1943-01-01,Damaged beyond repair,Takeoff (TOF),Military,Douglas,1944,May,Thursday,496
1011,1944-05-12,Douglas C-47A (DC-3),United Kingdom,5,0,5.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,May,Friday,132
1012,1944-05-12,Douglas C-47A (DC-3),United Kingdom,7,0,5.0,2.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,May,Friday,132
1016,1944-05-14,Douglas C-47A (DC-3),Italy,5,0,5.0,0.0,USAAF,1943-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,May,Sunday,499
1019,1944-05-15,Douglas C-47A (DC-3),India,3,0,3.0,0.0,CNAC,1943-01-01,Damaged beyond repair,En route (ENR),Cargo,Douglas,1944,May,Monday,500
1022,1944-05-18,Douglas C-47A (DC-3),Belarus,3,0,6.0,0.0,Aeroflot,1943-01-01,Damaged beyond repair,En route (ENR),Cargo,Douglas,1944,May,Thursday,503
1026,1944-05-23,Curtiss C-46A,India,4,0,3.0,1.0,USAAF,1944-01-01,Missing,Unknown (UNK),Military,Curtiss,1944,May,Tuesday,143
1027,1944-05-23,Douglas C-47A (DC-3),Myanmar,7,0,7.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,May,Tuesday,508
1030,1944-05-25,Douglas C-47A (DC-3),India,10,0,4.0,19.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,May,Thursday,510
1031,1944-05-25,Douglas C-47A (DC-3),Bhutan,3,0,3.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,May,Thursday,145
1032,1944-05-25,Douglas C-47 (DC-3),Myanmar,4,0,3.0,2.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,May,Thursday,510
1033,1944-05-26,Douglas C-47A (DC-3),China,12,0,2.0,10.0,CNAC,1943-01-01,Damaged beyond repair,En route (ENR),Int'l Non Scheduled Passenger,Douglas,1944,May,Friday,511
1034,1944-05-26,Curtiss C-46A,Brazil,2,0,2.0,3.0,USAAF,1944-01-01,Damaged beyond repair,Takeoff (TOF),Military,Curtiss,1944,May,Friday,146
1035,1944-05-27,Curtiss C-46A,Unknown country,3,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Curtiss,1944,May,Saturday,512
1038,1944-05-30,Douglas C-47 (DC-3),Belarus,8,0,5.0,3.0,Aeroflot,1943-01-01,Damaged beyond repair,Landing (LDG),Cargo,Douglas,1944,May,Tuesday,515
1039,1944-06-01,Douglas Dakota III (DC-3),Myanmar,7,0,5.0,2.0,RAF,1943-01-01,Missing,En route (ENR),Military,Douglas,1944,June,Thursday,517
1041,1944-06-03,Douglas Dakota III (DC-3),Morocco,16,0,4.0,13.0,RAF,1943-01-01,Destroyed,En route (ENR),Military,Douglas,1944,June,Saturday,519
1042,1944-06-03,Douglas Dakota III (DC-3),Algeria,16,0,4.0,13.0,RAF,1943-01-01,Destroyed,En route (ENR),Military,Douglas,1944,June,Saturday,519
1044,1944-06-06,Douglas C-47A (DC-3),France,22,0,4.0,18.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Tuesday,522
1045,1944-06-06,Douglas C-47A (DC-3),France,6,0,5.0,1.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Tuesday,522
1046,1944-06-06,Douglas C-47A (DC-3),France,20,0,4.0,16.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Tuesday,522
1047,1944-06-06,Douglas C-47A (DC-3),France,19,0,4.0,19.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Tuesday,522
1048,1944-06-06,Douglas Dakota III (DC-3),France,4,0,4.0,0.0,RAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Tuesday,157
1049,1944-06-06,Douglas Dakota III (DC-3),France,1,0,2.0,0.0,RAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Tuesday,157
1050,1944-06-06,Douglas Dakota III (DC-3),France,1,0,4.0,0.0,RAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Tuesday,157
1051,1944-06-06,Douglas C-47A (DC-3),France,4,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,Landing (LDG),Military,Douglas,1944,June,Tuesday,522
1053,1944-06-06,Douglas Dakota III (DC-3),France,22,0,4.0,19.0,RAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Tuesday,157
1054,1944-06-06,Douglas C-47A (DC-3),France,5,0,5.0,18.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Tuesday,522
1055,1944-06-06,Douglas C-47 (DC-3),France,4,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,June,Tuesday,522
1056,1944-06-06,Douglas C-47A (DC-3),France,21,0,4.0,17.0,USAAF,1943-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,June,Tuesday,522
1057,1944-06-06,Douglas C-47A (DC-3),France,6,0,6.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Tuesday,157
1058,1944-06-06,Douglas C-47A (DC-3),France,19,0,5.0,17.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Tuesday,522
1059,1944-06-06,Douglas C-47A (DC-3),France,22,0,5.0,17.0,USAAF,1944-01-01,Destroyed,En route (ENR),Military,Douglas,1944,June,Tuesday,157
1061,1944-06-06,Douglas C-47A (DC-3),France,2,0,5.0,1.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Tuesday,522
1062,1944-06-06,Douglas C-47A (DC-3),France,4,0,4.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Tuesday,157
1063,1944-06-06,Douglas C-47A (DC-3),France,22,0,4.0,18.0,USAAF,1944-01-01,Destroyed,En route (ENR),Military,Douglas,1944,June,Tuesday,157
1064,1944-06-06,Douglas C-47A (DC-3),France,4,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Tuesday,522
1066,1944-06-07,Douglas C-47A (DC-3),Papua New Guinea,4,0,4.0,0.0,RAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Wednesday,523
1067,1944-06-07,Douglas C-47A (DC-3),United Kingdom,2,0,5.0,2.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Wednesday,523
1068,1944-06-07,Douglas C-47 (DC-3),France,4,0,4.0,0.0,USAAF,1942-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Wednesday,888
1069,1944-06-07,Douglas C-47A (DC-3),France,4,0,5.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,June,Wednesday,158
1070,1944-06-07,Douglas Dakota III (DC-3),France,4,0,4.0,0.0,RAF,1944-01-01,Missing,En route (ENR),Military,Douglas,1944,June,Wednesday,158
1072,1944-06-07,Douglas C-47A (DC-3),United Kingdom,2,0,2.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Wednesday,158
1075,1944-06-07,Douglas C-47A (DC-3),United Kingdom,6,0,6.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Wednesday,158
1076,1944-06-08,Douglas C-47A (DC-3),India,6,0,3.0,3.0,CNAC,1943-01-01,Damaged beyond repair,En route (ENR),Cargo,Douglas,1944,June,Thursday,524
1077,1944-06-08,Douglas C-47 (DC-3),Unknown country,3,0,3.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Thursday,524
1078,1944-06-08,Douglas C-47 (DC-3),Unknown country,3,0,3.0,0.0,USAAF,1942-01-01,Missing,En route (ENR),Military,Douglas,1944,June,Thursday,889
1079,1944-06-11,Douglas Dakota III (DC-3),India,28,0,4.0,24.0,RAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Sunday,527
1080,1944-06-11,Douglas C-47A (DC-3),Myanmar,5,0,6.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Sunday,162
1085,1944-06-13,PBV-1A Canso A (PBY-5A),Iceland,7,0,8.0,0.0,RCAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,PBV-1A,1944,June,Tuesday,529
1086,1944-06-14,Douglas C-47 (DC-3),India,15,0,4.0,11.0,USAAF,1942-01-01,Missing,En route (ENR),Military,Douglas,1944,June,Wednesday,895
1088,1944-06-15,Douglas C-47A (DC-3),Myanmar,7,0,7.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Thursday,166
1089,1944-06-15,Douglas C-47A (DC-3),Myanmar,3,0,3.0,0.0,USAAF,1944-01-01,Missing,Unknown (UNK),Military,Douglas,1944,June,Thursday,166
1090,1944-06-15,Douglas C-47A (DC-3),United States of America,3,0,3.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Thursday,166
1092,1944-06-15,Douglas C-47A (DC-3),Myanmar,4,0,4.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Thursday,166
1093,1944-06-16,Curtiss C-46A,India,4,0,4.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Curtiss,1944,June,Friday,167
1095,1944-06-18,Douglas C-47 (DC-3),China,1,0,3.0,1.0,CNAC,1943-01-01,Damaged beyond repair,Unknown (UNK),Cargo,Douglas,1944,June,Sunday,534
1096,1944-06-19,Douglas Dakota III (DC-3),Myanmar,4,0,4.0,0.0,RAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,June,Monday,535
1097,1944-06-20,Douglas C-54A (DC-4),United States of America,7,0,6.0,1.0,"USAAF, opb TWA",1943-01-01,Destroyed,En route (ENR),Military,Douglas,1944,June,Tuesday,536
1098,1944-06-20,Curtiss C-46A,Myanmar,1,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Curtiss,1944,June,Tuesday,536
1099,1944-06-21,Curtiss C-46A,China,4,0,4.0,0.0,USAAF,1943-01-01,Missing,Unknown (UNK),Military,Curtiss,1944,June,Wednesday,537
1100,1944-06-21,Douglas C-47A (DC-3),Albania,6,0,6.0,0.0,USAAF,1943-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,June,Wednesday,537
1101,1944-06-22,Douglas C-47A (DC-3),China,4,0,4.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,June,Thursday,173
1102,1944-06-22,Douglas C-47A (DC-3),Myanmar,5,0,3.0,2.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,June,Thursday,173
1105,1944-06-26,Curtiss C-46A,India,4,0,4.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Curtiss,1944,June,Monday,177
1106,1944-06-27,Douglas C-47A (DC-3),Belarus,2,0,5.0,0.0,Aeroflot,1944-01-01,Damaged beyond repair,Maneuvering (MNV),Military,Douglas,1944,June,Tuesday,178
1107,1944-06-28,Douglas C-47A (DC-3),Myanmar,7,0,7.0,0.0,USAAF,1944-01-01,Missing,En route (ENR),Military,Douglas,1944,June,Wednesday,179
1109,1944-06-28,Lockheed C-60A Lodestar,United States of America,5,0,5.0,0.0,USAAF,1942-01-01,Damaged beyond repair,Initial climb (ICL),Military,Lockheed,1944,June,Wednesday,909
1110,1944-06-29,Curtiss C-46A,China,4,0,4.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Curtiss,1944,June,Thursday,180
1111,1944-06-29,Curtiss C-46A,Unknown country,1,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,Unknown (UNK),Military,Curtiss,1944,June,Thursday,545
1112,1944-07-02,Douglas C-47A (DC-3),United States of America,3,0,3.0,0.0,USAAF,1943-01-01,Damaged beyond repair,Approach (APR),Military,Douglas,1944,July,Sunday,548
1115,1944-07-07,Douglas C-47A (DC-3),United States of America,3,0,3.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,July,Friday,188
1116,1944-07-09,Douglas C-47A (DC-3),Papua New Guinea,7,0,5.0,2.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,July,Sunday,555
1120,1944-07-13,Douglas C-47A (DC-3),Belarus,6,0,6.0,0.0,Aeroflot,1944-01-01,Damaged beyond repair,En route (ENR),Cargo,Douglas,1944,July,Thursday,194
1121,1944-07-15,Douglas C-47A (DC-3),Unknown country,4,0,4.0,0.0,USAAF,1944-01-01,Missing,Unknown (UNK),Military,Douglas,1944,July,Saturday,196
1122,1944-07-16,Curtiss C-46A,India,3,0,3.0,0.0,USAAF,1943-01-01,Missing,Unknown (UNK),Military,Curtiss,1944,July,Sunday,562
1125,1944-07-20,Junkers Ju-52/3m,Kazakhstan,6,0,4.0,2.0,"Aeroflot, West Siberia",1942-01-01,Damaged beyond repair,Unknown (UNK),Ferry/positioning,Junkers,1944,July,Thursday,931
1127,1944-07-21,Douglas C-47A (DC-3),Atlantic Ocean,5,0,5.0,0.0,USAAF,1943-01-01,Missing,En route (ENR),Military,Douglas,1944,July,Friday,567
1128,1944-07-21,Douglas C-47A (DC-3),Atlantic Ocean,5,0,5.0,0.0,USAAF,1943-01-01,Missing,En route (ENR),Military,Douglas,1944,July,Friday,567
1129,1944-07-21,Douglas C-47A (DC-3),United States of America,5,0,5.0,0.0,USAAF,1943-01-01,Missing,En route (ENR),Military,Douglas,1944,July,Friday,567
1130,1944-07-21,Douglas C-47 (DC-3),Croatia,4,0,5.0,0.0,USAAF,1942-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,July,Friday,932
1131,1944-07-23,Douglas R4D-5 (DC-3),Papua New Guinea,16,0,2.0,14.0,US Navy,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,July,Sunday,569
1132,1944-07-23,Douglas C-47A (DC-3),Papua New Guinea,4,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,July,Sunday,569
1133,1944-07-24,Douglas C-47A (DC-3),Unknown country,6,0,5.0,1.0,USAAF,1944-01-01,Missing,En route (ENR),Military,Douglas,1944,July,Monday,205
1135,1944-07-25,Lockheed 14-H2 Super Electra,Venezuela,10,0,3.0,7.0,LAV,1939-01-01,Damaged beyond repair,Unknown (UNK),Domestic Scheduled Passenger,Lockheed,1944,July,Tuesday,2032
1137,1944-07-26,Douglas C-54A (DC-4),Atlantic Ocean,26,0,6.0,20.0,USAAF,1944-01-01,Missing,En route (ENR),Military,Douglas,1944,July,Wednesday,207
1139,1944-07-27,Douglas C-47A (DC-3),United Kingdom,22,0,5.0,17.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,July,Thursday,208
1142,1944-07-30,Douglas Dakota III (DC-3),Myanmar,4,0,4.0,0.0,RAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,July,Sunday,211
1143,1944-07-31,Douglas C-47A (DC-3),Italy,9,0,4.0,18.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,July,Monday,212
1144,1944-07-31,Douglas Dakota III (DC-3),Oman,32,0,5.0,27.0,South African AF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,July,Monday,212
1145,1944-08-01,Douglas C-47 (DC-3),China,3,0,3.0,0.0,CNAC,1943-01-01,Damaged beyond repair,En route (ENR),Cargo,Douglas,1944,August,Tuesday,578
1146,1944-08-02,Douglas Dakota III (DC-3),Myanmar,5,0,5.0,0.0,RAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,August,Wednesday,214
1147,1944-08-03,Douglas C-47A (DC-3),United States of America,28,0,4.0,24.0,USAAF,1943-01-01,Destroyed,En route (ENR),Military,Douglas,1944,August,Thursday,580
1148,1944-08-04,Douglas Dakota III (DC-3),India,18,0,4.0,14.0,RAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,August,Friday,581
1150,1944-08-07,Douglas C-47A (DC-3),Myanmar,7,0,7.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,August,Monday,219
1151,1944-08-08,Sikorsky S-42,Cuba,17,0,5.0,26.0,Pan Am,1934-01-01,Damaged beyond repair,Takeoff (TOF),International Scheduled Passenger,Sikorsky,1944,August,Tuesday,3872
1152,1944-08-09,Douglas C-47A (DC-3),Myanmar,6,0,4.0,2.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,August,Wednesday,221
1154,1944-08-12,Douglas C-47A (DC-3),United Kingdom,4,0,4.0,0.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,August,Saturday,589
1156,1944-08-12,Douglas C-47A (DC-3),United States of America,1,0,3.0,24.0,USAAF,1944-01-01,Damaged beyond repair,Takeoff (TOF),Military,Douglas,1944,August,Saturday,224
1159,1944-08-18,Douglas C-47 (DC-3),Nigeria,3,0,3.0,0.0,USAAF,1942-01-01,Missing,En route (ENR),Military,Douglas,1944,August,Friday,960
1160,1944-08-19,Curtiss C-46A,India,3,0,3.0,0.0,USAAF,1944-01-01,Destroyed,En route (ENR),Military,Curtiss,1944,August,Saturday,231
1161,1944-08-19,Douglas C-47A (DC-3),Myanmar,7,0,3.0,4.0,USAAF,1943-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,August,Saturday,596
1162,1944-08-21,Douglas C-47A (DC-3),Atlantic Ocean,8,0,6.0,2.0,USAAF,1944-01-01,Missing,En route (ENR),Military,Douglas,1944,August,Monday,233
1163,1944-08-21,Douglas Dakota III (DC-3),Italy,5,0,5.0,0.0,RAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,August,Monday,233
1164,1944-08-23,Douglas C-47A (DC-3),China,11,0,4.0,7.0,USAAF,1944-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,August,Wednesday,235
1165,1944-08-24,Douglas Dakota III (DC-3),India,6,0,6.0,0.0,RAF,1943-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1944,August,Thursday,601
1166,1944-08-25,Curtiss C-46A,Myanmar,3,0,3.0,0.0,USAAF,1943-01-01,Missing,Unknown (UNK),Military,Curtiss,1944,August,Friday,602
1168,1944-08-28,Douglas C-54A (DC-4),United Kingdom,20,5,6.0,14.0,USAAF,1943-01-01,Damaged beyond repair,Approach (APR),Military,Douglas,1944,August,Monday,605
1169,1944-08-29,Douglas C-47A (DC-3),Atlantic Ocean,2,0,2.0,0.0,USAAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,August,Tuesday,241
1170,1944-08-29,Lockheed C-60A Lodestar,Sweden,11,0,3.0,12.0,BOAC,1943-01-01,Damaged beyond repair,Approach (APR),International Scheduled Passenger,Lockheed,1944,August,Tuesday,606
1171,1944-08-30,Lockheed 18 Lodestar,Brazil,16,0,4.0,12.0,Panair do Brasil,1941-01-01,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,Lockheed,1944,August,Wednesday,1337
1172,1944-08-31,Douglas C-47A (DC-3),China,2,0,3.0,0.0,CNAC,1944-01-01,Damaged beyond repair,En route (ENR),Cargo,Douglas,1944,August,Thursday,243
1179,1944-09-07,Douglas C-54A (DC-4),United States of America,3,0,3.0,0.0,USAAF,1944-01-01,Destroyed,En route (ENR),Military,Douglas,1944,September,Thursday,250
1180,1944-09-07,Douglas C-47A (DC-3),Australia,20,0,4.0,16.0,Netherlands East Indies AF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1944,September,Thursday,250
1181,1944-09-08,Douglas C-47A (DC-3),United Kingdom,4,0,4.0,0.0,USAAF,1944-01-01,Damaged beyond repair,Approach (APR),Military,Douglas,1944,September,Friday,251
